	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00316656	3	1	15	1	1	13	0	22	0	0	11.374	 	0	0
DL	0.00317072	3	1	16	1	1	14	0	22	0	0	3.36026	 	0	0
DL	0.00317488	3	1	17	1	1	15	0	22	0	0	2.95805	 	0	0
DL	0.00317904	3	1	18	1	1	16	0	22	0	0	1.06253	 	0	0
DL	0.0031832	3	1	19	1	1	17	0	22	0	0	17.8711	 	0	0
DL	0.00318736	3	1	20	1	1	18	0	22	0	0	0.766755	 	0	0
DL	0.00319152	3	1	21	1	1	19	0	22	0	0	-11.6349	 	1	1
DL	0.00319568	3	1	22	1	1	20	0	22	0	0	18.3398	 	0	0
DL	0.00361248	3	6	1	2	1	1	0	48	0	1	-26.9904	 	1	1
DL	0.00361664	3	6	3	1	1	7	0	22	0	1	-9.40572	 	1	0.529389
DL	0.0036208	3	6	4	1	1	19	0	22	0	1	-11.6435	 	1	0.994614
UL	0.00371248	3	7	1	2	1	2	0	48	0	0	1.76089 	0	0
UL	0.0037208	3	7	3	2	1	3	0	48	0	0	0.851412 	0	0
UL	0.00372912	3	7	5	2	1	4	0	48	0	0	0.224389 	0	0
UL	0.00373744	3	7	7	2	1	5	0	48	0	0	34.5679 	0	0
UL	0.00374576	3	7	9	2	1	6	0	48	0	0	3.51994 	0	0
UL	0.00374992	3	7	11	1	1	8	0	22	0	0	3.35187 	0	0
UL	0.00375408	3	7	12	1	1	9	0	22	0	0	-4.51462 	0	2.3506e-06
UL	0.00375824	3	7	13	1	1	10	0	22	0	0	-1.07281 	0	0
UL	0.0037624	3	7	14	1	1	11	0	22	0	0	3.53672 	0	0
UL	0.00376656	3	7	15	1	1	12	0	22	0	0	32.8067 	0	0
UL	0.00377072	3	7	16	1	1	13	0	22	0	0	11.3038 	0	0
UL	0.00377488	3	7	17	1	1	14	0	22	0	0	3.27125 	0	0
UL	0.00377904	3	7	18	1	1	15	0	22	0	0	2.82732 	0	0
UL	0.0037832	3	7	19	1	1	16	0	22	0	0	2.16482 	0	0
UL	0.00378736	3	7	20	1	1	17	0	22	0	0	17.6456 	0	0
UL	0.00379152	3	7	21	1	1	18	0	22	0	0	0.765535 	0	0
UL	0.00379568	3	7	22	1	1	20	0	22	0	0	18.2646 	0	0
DL	0.00411248	4	1	1	2	1	1	0	48	0	2	-26.988	 	1	1
DL	0.00411664	4	1	3	1	1	7	0	22	0	2	-8.54891	 	0	7.29967e-07
DL	0.0041208	4	1	4	1	1	19	0	22	0	2	-11.6446	 	0	0.338469
DL	0.00420832	4	2	1	1	1	2	0	94	6	0	1.55321	 	0	1.84392e-10
DL	0.00421248	4	2	2	1	1	3	0	94	6	0	1.03145	 	0	4.76137e-10
DL	0.00421664	4	2	3	1	1	4	0	94	6	0	1.86398	 	0	6.10623e-16
DL	0.0042208	4	2	4	1	1	5	0	885	28	0	34.5706	 	0	1.14131e-13
DL	0.00422496	4	2	5	1	1	6	0	139	8	0	2.72849	 	0	1.57346e-05
DL	0.00422912	4	2	6	1	1	8	0	139	8	0	3.25741	 	0	7.60757e-09
DL	0.00423328	4	2	7	1	1	10	0	58	4	0	-1.17657	 	0	0.000119465
DL	0.00423744	4	2	8	1	1	11	0	139	8	0	3.53424	 	0	0
DL	0.0042416	4	2	9	1	1	12	0	885	28	0	32.8099	 	0	1.14131e-13
DL	0.00424576	4	2	10	1	1	13	0	385	16	0	11.4217	 	0	3.33067e-16
DL	0.00424992	4	2	11	1	1	14	0	139	8	0	3.38556	 	0	3.59157e-14
DL	0.00425408	4	2	12	1	1	15	0	139	8	0	2.96038	 	0	1.39792e-08
DL	0.00425824	4	2	13	1	1	16	0	94	6	0	0.834018	 	0	0.00042619
DL	0.0042624	4	2	14	1	1	17	0	628	22	0	17.9885	 	0	0
DL	0.00426656	4	2	15	1	1	18	0	94	6	0	0.840044	 	0	0.00125458
DL	0.00427072	4	2	16	1	1	20	0	726	24	0	17.775	 	0	0.000625055
DL	0.00461248	4	6	1	2	1	1	0	48	0	3	-26.9859	 	1	0.999996
UL	0.00471248	4	7	1	2	1	7	0	48	0	0	-10.614 	1	1
UL	0.0047208	4	7	3	2	1	19	0	48	0	0	-11.6102 	1	1
UL	0.00501248	5	0	1	2	1	7	0	48	0	1	-10.4323 	1	0.814376
UL	0.0050208	5	0	3	2	1	19	0	48	0	1	-11.6009 	1	0.995951
UL	0.00531248	5	3	1	2	1	7	0	48	0	2	-10.0372 	0	2.1409e-05
UL	0.0053208	5	3	3	2	1	19	0	48	0	2	-11.5899 	1	0.156608
UL	0.00561248	5	6	1	2	1	19	0	48	0	3	-11.578 	0	0
UL	0.00601248	6	0	1	2	1	9	0	61	1	0	-4.10123 	0	1.10269e-05
DL	0.0134083	13	4	1	1	1	9	0	22	0	0	-3.3394	 	0	7.22289e-12
DL	0.0144083	14	4	1	1	1	7	0	22	0	0	-9.755	 	1	0.999977
DL	0.0144125	14	4	2	1	1	19	0	22	0	0	-11.7086	 	1	1
DL	0.0149083	14	9	1	1	1	7	0	22	0	1	-10.3145	 	1	0.638758
DL	0.0149125	14	9	2	1	1	19	0	22	0	1	-11.7011	 	1	0.996501
UL	0.0150125	15	0	1	2	1	7	0	48	0	0	-7.59833 	1	0.940427
UL	0.015025	15	0	4	2	1	19	0	48	0	0	-11.6026 	1	1
UL	0.0153125	15	3	1	2	1	7	0	48	0	1	-7.82653 	0	2.73049e-09
UL	0.0153208	15	3	3	2	1	19	0	48	0	1	-11.5974 	1	0.995942
DL	0.0154083	15	4	1	1	1	7	0	22	0	2	-10.4152	 	0	0.00025862
DL	0.0154125	15	4	2	1	1	19	0	22	0	2	-11.6926	 	1	0.417151
UL	0.0156125	15	6	1	2	1	19	0	48	0	2	-11.5928 	0	0.160524
DL	0.0159083	15	9	1	1	1	19	0	22	0	3	-11.6848	 	0	0
DL	0.0231125	23	1	1	2	1	2	0	48	0	0	1.9565	 	0	0
DL	0.0231208	23	1	3	2	1	3	0	48	0	0	0.834776	 	0	0
DL	0.0231291	23	1	5	2	1	4	0	48	0	0	3.86179	 	0	0
DL	0.0231374	23	1	7	2	1	5	0	48	0	0	34.5708	 	0	0
DL	0.0231458	23	1	9	2	1	6	0	48	0	0	1.02446	 	0	0
DL	0.0231499	23	1	11	1	1	8	0	22	0	0	3.24255	 	0	0
DL	0.0231541	23	1	12	1	1	9	0	32	2	0	-4.14878	 	0	0.00163995
DL	0.0231582	23	1	13	1	1	10	0	22	0	0	-1.17262	 	0	0
DL	0.0231624	23	1	14	1	1	11	0	22	0	0	3.53858	 	0	0
DL	0.0231666	23	1	15	1	1	12	0	22	0	0	32.8089	 	0	0
DL	0.0231707	23	1	16	1	1	13	0	22	0	0	12.8232	 	0	0
DL	0.0231749	23	1	17	1	1	14	0	22	0	0	3.34369	 	0	0
DL	0.023179	23	1	18	1	1	15	0	22	0	0	2.87261	 	0	0
DL	0.0231832	23	1	19	1	1	16	0	22	0	0	0.203227	 	0	0
DL	0.0231874	23	1	20	1	1	17	0	22	0	0	17.8027	 	0	0
DL	0.0231915	23	1	21	1	1	18	0	22	0	0	0.194712	 	0	0
DL	0.0231957	23	1	22	1	1	20	0	22	0	0	18.5053	 	0	0
DL	0.0232125	23	2	1	2	1	8	0	48	0	0	3.24363	 	0	0
DL	0.0232166	23	2	3	1	1	9	0	32	2	0	-4.18836	 	0	0.00212749
DL	0.023225	23	2	4	2	1	10	0	48	0	0	-1.17335	 	0	0
DL	0.0232333	23	2	6	2	1	11	0	48	0	0	3.53794	 	0	0
DL	0.0232416	23	2	8	2	1	12	0	48	0	0	32.8087	 	0	0
DL	0.0232499	23	2	10	2	1	13	0	48	0	0	12.8267	 	0	0
DL	0.0232582	23	2	12	2	1	14	0	48	0	0	3.34112	 	0	0
DL	0.0232666	23	2	14	2	1	15	0	48	0	0	2.8742	 	0	0
DL	0.0232749	23	2	16	2	1	16	0	48	0	0	0.223598	 	0	0
DL	0.0232832	23	2	18	2	1	17	0	48	0	0	17.7977	 	0	0
DL	0.0232915	23	2	20	2	1	18	0	48	0	0	0.20383	 	0	0
DL	0.0232957	23	2	22	1	1	20	0	22	0	0	18.5173	 	0	0
DL	0.0233125	23	3	1	2	1	20	0	48	0	0	18.5185	 	0	0
UL	0.0237125	23	7	1	2	1	20	0	48	0	0	18.5565 	0	0
UL	0.0237208	23	7	3	2	1	2	0	48	0	0	1.81401 	0	0
UL	0.0237291	23	7	5	2	1	3	0	48	0	0	0.736235 	0	0
UL	0.0237374	23	7	7	2	1	4	0	48	0	0	-0.154339 	0	0
UL	0.0237458	23	7	9	2	1	5	0	48	0	0	34.5482 	0	0
UL	0.0237499	23	7	11	1	1	6	0	22	0	0	3.32605 	0	0
UL	0.0237541	23	7	12	1	1	8	0	22	0	0	3.23876 	0	0
UL	0.0237582	23	7	13	1	1	9	0	22	0	0	-3.17241 	0	4.71623e-13
UL	0.0237624	23	7	14	1	1	10	0	22	0	0	-1.07494 	0	0
UL	0.0237666	23	7	15	1	1	11	0	22	0	0	3.54193 	0	0
UL	0.0237707	23	7	16	1	1	12	0	22	0	0	32.8069 	0	0
UL	0.0237749	23	7	17	1	1	13	0	22	0	0	12.724 	0	0
UL	0.023779	23	7	18	1	1	14	0	22	0	0	3.39648 	0	0
UL	0.0237832	23	7	19	1	1	15	0	22	0	0	2.92821 	0	0
UL	0.0237874	23	7	20	1	1	16	0	22	0	0	1.64021 	0	0
